Apr 29 15:00:00 router newsyslog[1178]: logfile turned over due to size>1000K
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,280477,1304600000,0,0,3,7128,5279994,10,8768,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,0,15000,15000,150000,819,1024,10240,19,60000,8613392,70000,70000,29857500,1304540000,0,0,3,2958,2779264,17,18260,48,1500,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,290307,1304600000,0,0,3,7129,5281422,11,10196,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,300137,1304600000,0,0,3,7130,5282850,12,11624,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,309967,1304600000,0,0,3,7131,5282900,13,11674,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,319797,1304600000,0,0,3,7132,5282950,14,11724,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,329627,1304600000,0,0,3,7133,5283000,15,11774,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,339457,1304600000,0,0,3,7134,5283050,16,11824,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,349287,1304600000,0,0,3,7135,5283100,17,11874,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,359117,1304600000,0,0,3,7136,5284528,18,13302,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,368947,1304600000,0,0,3,7137,5285956,19,14730,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,378777,1304600000,0,0,3,7138,5287384,11,8818,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,0,15000,15000,150000,819,1024,10240,19,60000,8613392,80000,70000,38470892,1304540000,0,0,3,2959,2780764,16,16760,48,1500,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,388607,1304600000,0,0,3,7139,5288812,12,10246,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,120000,9830,10000,10000,398437,1304600000,0,0,3,7140,5290240,13,11674,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,0,15000,15000,150000,819,1024,10240,19,60000,8613392,80000,70000,47084284,1304540000,0,0,3,2960,2782264,17,18260,48,1500,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,405646,1304600000,0,0,3,7141,5291668,14,13102,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,412855,1304600000,0,0,3,7142,5291718,15,13152,4,50,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,420064,1304600000,0,0,3,7143,5291768,16,13202,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,427273,1304600000,0,0,3,7144,5293196,17,14630,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,434482,1304600000,0,0,3,7145,5294624,18,16058,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,10000,10000,441691,1304600000,0,0,3,7146,5296052,19,17486,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,20000,10000,448900,1304600000,0,0,3,7147,5297480,11,12952,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,20000,10000,456109,1304600000,0,0,3,7148,5298908,12,14380,4,1428,1,end 
Apr 29 15:00:00 router kernel: dualpi2_ecn_marking-start,1,15000,15000,150000,819,1024,10240,19,105000,7209,20000,10000,463318,1304600000,0,0,3,7149,5300336,13,15808,4,50,1,end 
